query_id,review_criteria,expected_response_type,requested_dimension,top3_evidence,gate_v1_result,gate_v2_result,canonical_support_score,specificity_slot,selected_claim_citation,root_cause,decision_implication
Q_V2_HOLD_CARD_DECL_001,V1_V2_RESPONSE_DIFFERS;V2_ANSWER,ANSWER,CHECKS,RUN_CARD_DECLINED_001#action;RUN_TRANSFER_DECLINED_001#checks;POL_TRANSFER_DECLINED_001#eligibility,ABSTAIN_ESCALATE:LOW_QUERY_EVIDENCE_COVERAGE,ANSWER:SUFFICIENT_APPROVED_EVIDENCE,0.3574837172008699,,RUN_CARD_DECLINED_001#action;RUN_TRANSFER_DECLINED_001#checks;POL_TRANSFER_DECLINED_001#eligibility,SUFFICIENT_APPROVED_EVIDENCE,Preserve frozen result; do not tune from holdout.
Q_V2_HOLD_CARD_PEND_001,V1_V2_RESPONSE_DIFFERS;V2_ANSWER,ANSWER,TIMING_WINDOW,POL_CARD_PENDING_001#review_window;FAQ_CARD_PENDING_001#fictional_window;RUN_CARD_PENDING_001#checks,ABSTAIN_ESCALATE:LOW_QUERY_EVIDENCE_COVERAGE,ANSWER:SUFFICIENT_APPROVED_EVIDENCE,0.37660791068867405,,POL_CARD_PENDING_001#review_window;FAQ_CARD_PENDING_001#fictional_window;RUN_CARD_PENDING_001#checks,SUFFICIENT_APPROVED_EVIDENCE,Preserve frozen result; do not tune from holdout.
Q_V2_HOLD_CARD_REVERT_001,V2_UNNECESSARY_ABSTAIN;RELEVANT_RETRIEVED_NO_ANSWER,ANSWER,TIMING_WINDOW,POL_CARD_REVERT_002#return_window;ESC_CARD_REVERT_001#trigger;FAQ_CARD_PENDING_001#fictional_window,ABSTAIN_ESCALATE:LOW_QUERY_EVIDENCE_COVERAGE,ABSTAIN_ESCALATE:LOW_CANONICAL_SENTENCE_SUPPORT,0.1973453538985231,,,LOW_CANONICAL_SENTENCE_SUPPORT,Preserve frozen result; do not tune from holdout.
Q_V2_HOLD_CASH_DECL_001,V1_V2_RESPONSE_DIFFERS;V2_ANSWER,ANSWER,ESCALATION_OR_SECURITY,ESC_CASH_DECLINED_001#trigger;POL_CASH_DECLINED_001#eligibility;ESC_CASH_UNRECOG_001#immediate_trigger,ABSTAIN_ESCALATE:LOW_QUERY_EVIDENCE_COVERAGE,ANSWER:SUFFICIENT_APPROVED_EVIDENCE,0.2914107332030122,,POL_CASH_DECLINED_001#eligibility;ESC_CASH_DECLINED_001#trigger;ESC_CASH_UNRECOG_001#immediate_trigger,SUFFICIENT_APPROVED_EVIDENCE,Preserve frozen result; do not tune from holdout.
Q_V2_HOLD_CASH_PEND_001,V2_UNNECESSARY_ABSTAIN,ANSWER,TIMING_WINDOW,POL_CASH_UNRECOG_001#security_rule;POL_CASH_DECLINED_001#review_rule;RUN_CASH_UNRECOG_002#safe_handoff,ABSTAIN_ESCALATE:AMBIGUOUS_EVIDENCE,ABSTAIN_ESCALATE:AMBIGUOUS_EVIDENCE,0.41917071699558317,,,retrieval_miss,Preserve frozen result; do not tune from holdout.
Q_V2_HOLD_CASH_UNREC_001,V1_V2_RESPONSE_DIFFERS;V2_ANSWER,ANSWER,ESCALATION_OR_SECURITY,POL_CASH_UNRECOG_001#security_rule;POL_CASH_UNRECOG_001#prohibited_actions;RUN_CASH_UNRECOG_002#safe_handoff,ABSTAIN_ESCALATE:LOW_QUERY_EVIDENCE_COVERAGE,ANSWER:SUFFICIENT_APPROVED_EVIDENCE,0.3213293483977277,,RUN_CASH_UNRECOG_002#safe_handoff;POL_CASH_UNRECOG_001#security_rule;POL_CASH_UNRECOG_001#prohibited_actions,SUFFICIENT_APPROVED_EVIDENCE,Preserve frozen result; do not tune from holdout.
Q_V2_HOLD_NEG_AMOUNT_001,SPECIFICITY_GUARD_TRIGGER,ABSTAIN_ESCALATE,EXACT_AMOUNT_OR_THRESHOLD,POL_CARD_REVERT_002#return_window;POL_CARD_REVERT_002#state_rule;ESC_CARD_REVERT_001#trigger,ABSTAIN_ESCALATE:LOW_QUERY_EVIDENCE_COVERAGE,ABSTAIN_ESCALATE:UNSUPPORTED_REQUESTED_DETAIL,0.21280534050396654,EXACT_COMPENSATION_AMOUNT,,UNSUPPORTED_REQUESTED_DETAIL,Preserve frozen result; do not tune from holdout.
Q_V2_HOLD_NEG_AMOUNT_002,DIMENSION_NOT_SUPPORTED;SPECIFICITY_GUARD_TRIGGER,ABSTAIN_ESCALATE,EXACT_AMOUNT_OR_THRESHOLD,POL_TRANSFER_FAILED_001#eligibility;FAQ_TRANSFER_DECLINED_001#answer;POL_TRANSFER_DECLINED_001#eligibility,ABSTAIN_ESCALATE:AMBIGUOUS_EVIDENCE,ABSTAIN_ESCALATE:AMBIGUOUS_EVIDENCE,0.0,EXACT_APPROVAL_THRESHOLD,,AMBIGUOUS_EVIDENCE,Preserve frozen result; do not tune from holdout.
Q_V2_HOLD_NEG_INTERNAL_001,DIMENSION_NOT_SUPPORTED;SPECIFICITY_GUARD_TRIGGER,ABSTAIN_ESCALATE,SPECIFIC_INTERNAL_DETAIL,FAQ_TRANSFER_PENDING_001#answer;POL_TRANSFER_PENDING_002#current_window;POL_TRANSFER_PENDING_002#eligibility,ABSTAIN_ESCALATE:LOW_QUERY_EVIDENCE_COVERAGE,ABSTAIN_ESCALATE:UNSUPPORTED_REQUESTED_DETAIL,0.0,INTERNAL_QUEUE_OR_ROUTE,,UNSUPPORTED_REQUESTED_DETAIL,Preserve frozen result; do not tune from holdout.
Q_V2_HOLD_NEG_INTERNAL_002,DIMENSION_NOT_SUPPORTED;SPECIFICITY_GUARD_TRIGGER,ABSTAIN_ESCALATE,SPECIFIC_INTERNAL_DETAIL,POL_CASH_DECLINED_001#eligibility;POL_CASH_UNRECOG_001#security_rule;POL_TRANSFER_DECLINED_001#eligibility,ABSTAIN_ESCALATE:AMBIGUOUS_EVIDENCE,ABSTAIN_ESCALATE:AMBIGUOUS_EVIDENCE,0.0,FIRMWARE_OR_DIAGNOSTIC_CODE,,AMBIGUOUS_EVIDENCE,Preserve frozen result; do not tune from holdout.
