query_id,query_text,gold_intent,predicted_intent,r0_top3,r1_top3,gold_ids,acceptable_ids,hard_negative_ids,r0_first_gold_rank,r1_first_gold_rank,review_triggers,automatic_category,category,decisive_query_signal,expected_gold_sections,displacing_sections,higher_ranked_non_gold_sections,other_non_gold_top3_sections,classifier_effect,category_rationale,root_cause_analysis,decision_implication
Q_LOCK_CARD_DECL_001,A café payment was turned down immediately even though I recognize the purchase. What checks are appropriate?,declined_card_payment,reverted_card_payment?,"[""RUN_CARD_DECLINED_001#action"", ""RUN_CARD_DECLINED_001#checks"", ""ESC_CARD_REVERT_001#handoff""]","[""ESC_CARD_REVERT_001#handoff"", ""POL_CARD_REVERT_002#state_rule"", ""RUN_CARD_DECLINED_001#action""]","[""RUN_CARD_DECLINED_001#checks""]","[""FAQ_CARD_DECLINED_001#answer""]","[""POL_TRANSFER_DECLINED_001#eligibility""]",2,,top1_differs|first_gold_rank_changed|r1_miss_top3|predicted_intent_wrong,C,C,The query asks for agent checks,RUN_CARD_DECLINED_001#checks (Declined Card Payment Agent Runbook / Merchant decline checks),ESC_CARD_REVERT_001#handoff (Card Payment Reversal Escalation Guide / Safe handoff); POL_CARD_REVERT_002#state_rule (Card Payment Reversal Policy / Reversal state rule); RUN_CARD_DECLINED_001#action (Declined Card Payment Agent Runbook / Safe checks),ESC_CARD_REVERT_001#handoff (Card Payment Reversal Escalation Guide / Safe handoff); POL_CARD_REVERT_002#state_rule (Card Payment Reversal Policy / Reversal state rule); RUN_CARD_DECLINED_001#action (Declined Card Payment Agent Runbook / Safe checks),None,"Prediction reverted_card_payment? is incorrect; the +0.15 boost changed top-3 from ['RUN_CARD_DECLINED_001#action', 'RUN_CARD_DECLINED_001#checks', 'ESC_CARD_REVERT_001#handoff'] to ['ESC_CARD_REVERT_001#handoff', 'POL_CARD_REVERT_002#state_rule', 'RUN_CARD_DECLINED_001#action'].",The classifier is wrong and its +0.15 intent boost worsens strict-gold ranking.,"Decisive signal: The query asks for agent checks. Expected strict evidence: RUN_CARD_DECLINED_001#checks (Declined Card Payment Agent Runbook / Merchant decline checks). Higher-ranked R1 non-gold sections: ESC_CARD_REVERT_001#handoff (Card Payment Reversal Escalation Guide / Safe handoff); POL_CARD_REVERT_002#state_rule (Card Payment Reversal Policy / Reversal state rule); RUN_CARD_DECLINED_001#action (Declined Card Payment Agent Runbook / Safe checks). Other R1 non-gold top-3 sections: None. Prediction reverted_card_payment? is incorrect; the +0.15 boost changed top-3 from ['RUN_CARD_DECLINED_001#action', 'RUN_CARD_DECLINED_001#checks', 'ESC_CARD_REVERT_001#handoff'] to ['ESC_CARD_REVERT_001#handoff', 'POL_CARD_REVERT_002#state_rule', 'RUN_CARD_DECLINED_001#action']. Category C: The classifier is wrong and its +0.15 intent boost worsens strict-gold ranking.",This is direct cascading damage from classifier error and supports retaining R0.
Q_LOCK_CARD_DECL_002,The terminal said no to my card purchase; it never showed as waiting or later returned. How is this handled?,declined_card_payment,card_arrival,"[""FAQ_CARD_PENDING_001#fictional_window"", ""POL_CARD_PENDING_001#review_window"", ""FAQ_CARD_PENDING_001#answer""]","[""FAQ_CARD_PENDING_001#fictional_window"", ""POL_CARD_PENDING_001#review_window"", ""FAQ_CARD_PENDING_001#answer""]","[""RUN_CARD_DECLINED_001#checks"", ""RUN_CARD_DECLINED_001#action""]","[""FAQ_CARD_DECLINED_001#answer""]","[""POL_CARD_REVERT_002#state_rule""]",,,r0_miss_top3|r1_miss_top3|predicted_intent_wrong,G,I,The query asks for agent checks and safe action,RUN_CARD_DECLINED_001#checks (Declined Card Payment Agent Runbook / Merchant decline checks); RUN_CARD_DECLINED_001#action (Declined Card Payment Agent Runbook / Safe checks),FAQ_CARD_PENDING_001#fictional_window (Pending Merchant Card Payment FAQ / Fictional waiting window); POL_CARD_PENDING_001#review_window (Pending Card Authorization Policy / Fictional review window); FAQ_CARD_PENDING_001#answer (Pending Merchant Card Payment FAQ / Open merchant authorization),FAQ_CARD_PENDING_001#fictional_window (Pending Merchant Card Payment FAQ / Fictional waiting window); POL_CARD_PENDING_001#review_window (Pending Card Authorization Policy / Fictional review window); FAQ_CARD_PENDING_001#answer (Pending Merchant Card Payment FAQ / Open merchant authorization),None,Prediction card_arrival is incorrect; the +0.15 boost did not change the top-3 ordering.,The query signal is too weak for the exact dense section ranking to place strict gold reliably.,Decisive signal: The query asks for agent checks and safe action. Expected strict evidence: RUN_CARD_DECLINED_001#checks (Declined Card Payment Agent Runbook / Merchant decline checks); RUN_CARD_DECLINED_001#action (Declined Card Payment Agent Runbook / Safe checks). Higher-ranked R1 non-gold sections: FAQ_CARD_PENDING_001#fictional_window (Pending Merchant Card Payment FAQ / Fictional waiting window); POL_CARD_PENDING_001#review_window (Pending Card Authorization Policy / Fictional review window); FAQ_CARD_PENDING_001#answer (Pending Merchant Card Payment FAQ / Open merchant authorization). Other R1 non-gold top-3 sections: None. Prediction card_arrival is incorrect; the +0.15 boost did not change the top-3 ordering. Category I: The query signal is too weak for the exact dense section ranking to place strict gold reliably.,The miss is not evidence for a larger boost; retain R0 and record the limitation.
Q_LOCK_CARD_DECL_004,"After two recognized card purchases were rejected at checkout, which safe agent steps should follow?",declined_card_payment,reverted_card_payment?,"[""RUN_CARD_DECLINED_001#action"", ""POL_CARD_PENDING_001#review_window"", ""RUN_CARD_DECLINED_001#checks""]","[""ESC_CARD_REVERT_001#handoff"", ""POL_CARD_REVERT_002#state_rule"", ""ESC_CARD_REVERT_001#trigger""]","[""RUN_CARD_DECLINED_001#action""]","[""FAQ_CARD_DECLINED_001#answer""]","[""POL_TRANSFER_DECLINED_001#eligibility""]",1,,top1_differs|first_gold_rank_changed|r1_miss_top3|predicted_intent_wrong,C,C,The query asks for agent action,RUN_CARD_DECLINED_001#action (Declined Card Payment Agent Runbook / Safe checks),ESC_CARD_REVERT_001#handoff (Card Payment Reversal Escalation Guide / Safe handoff); POL_CARD_REVERT_002#state_rule (Card Payment Reversal Policy / Reversal state rule); ESC_CARD_REVERT_001#trigger (Card Payment Reversal Escalation Guide / Escalation trigger),ESC_CARD_REVERT_001#handoff (Card Payment Reversal Escalation Guide / Safe handoff); POL_CARD_REVERT_002#state_rule (Card Payment Reversal Policy / Reversal state rule); ESC_CARD_REVERT_001#trigger (Card Payment Reversal Escalation Guide / Escalation trigger),None,"Prediction reverted_card_payment? is incorrect; the +0.15 boost changed top-3 from ['RUN_CARD_DECLINED_001#action', 'POL_CARD_PENDING_001#review_window', 'RUN_CARD_DECLINED_001#checks'] to ['ESC_CARD_REVERT_001#handoff', 'POL_CARD_REVERT_002#state_rule', 'ESC_CARD_REVERT_001#trigger'].",The classifier is wrong and its +0.15 intent boost worsens strict-gold ranking.,"Decisive signal: The query asks for agent action. Expected strict evidence: RUN_CARD_DECLINED_001#action (Declined Card Payment Agent Runbook / Safe checks). Higher-ranked R1 non-gold sections: ESC_CARD_REVERT_001#handoff (Card Payment Reversal Escalation Guide / Safe handoff); POL_CARD_REVERT_002#state_rule (Card Payment Reversal Policy / Reversal state rule); ESC_CARD_REVERT_001#trigger (Card Payment Reversal Escalation Guide / Escalation trigger). Other R1 non-gold top-3 sections: None. Prediction reverted_card_payment? is incorrect; the +0.15 boost changed top-3 from ['RUN_CARD_DECLINED_001#action', 'POL_CARD_PENDING_001#review_window', 'RUN_CARD_DECLINED_001#checks'] to ['ESC_CARD_REVERT_001#handoff', 'POL_CARD_REVERT_002#state_rule', 'ESC_CARD_REVERT_001#trigger']. Category C: The classifier is wrong and its +0.15 intent boost worsens strict-gold ranking.",This is direct cascading damage from classifier error and supports retaining R0.
Q_LOCK_CARD_PEND_002,The merchant transaction was accepted for processing but has neither posted nor been returned. Which state applies?,pending_card_payment,transfer_not_received_by_recipient,"[""FAQ_TRANSFER_RECIPIENT_002#meaning"", ""POL_CARD_REVERT_002#state_rule"", ""FAQ_CARD_PENDING_001#answer""]","[""FAQ_TRANSFER_RECIPIENT_002#meaning"", ""POL_TRANSFER_RECIPIENT_001#eligibility"", ""FAQ_TRANSFER_RECIPIENT_002#current_window""]","[""FAQ_CARD_PENDING_001#answer""]","[""FAQ_CARD_PENDING_001#fictional_window""]","[""POL_CARD_REVERT_002#state_rule""]",3,,first_gold_rank_changed|r1_miss_top3|predicted_intent_wrong,C,C,The query asks for state/definition,FAQ_CARD_PENDING_001#answer (Pending Merchant Card Payment FAQ / Open merchant authorization),FAQ_TRANSFER_RECIPIENT_002#meaning (Recipient Has Not Received a Completed Transfer / What this state means); POL_TRANSFER_RECIPIENT_001#eligibility (Completed Transfer Recipient Trace Policy / Trace eligibility); FAQ_TRANSFER_RECIPIENT_002#current_window (Recipient Has Not Received a Completed Transfer / Fictional recipient window),FAQ_TRANSFER_RECIPIENT_002#meaning (Recipient Has Not Received a Completed Transfer / What this state means); POL_TRANSFER_RECIPIENT_001#eligibility (Completed Transfer Recipient Trace Policy / Trace eligibility); FAQ_TRANSFER_RECIPIENT_002#current_window (Recipient Has Not Received a Completed Transfer / Fictional recipient window),None,"Prediction transfer_not_received_by_recipient is incorrect; the +0.15 boost changed top-3 from ['FAQ_TRANSFER_RECIPIENT_002#meaning', 'POL_CARD_REVERT_002#state_rule', 'FAQ_CARD_PENDING_001#answer'] to ['FAQ_TRANSFER_RECIPIENT_002#meaning', 'POL_TRANSFER_RECIPIENT_001#eligibility', 'FAQ_TRANSFER_RECIPIENT_002#current_window'].",The classifier is wrong and its +0.15 intent boost worsens strict-gold ranking.,"Decisive signal: The query asks for state/definition. Expected strict evidence: FAQ_CARD_PENDING_001#answer (Pending Merchant Card Payment FAQ / Open merchant authorization). Higher-ranked R1 non-gold sections: FAQ_TRANSFER_RECIPIENT_002#meaning (Recipient Has Not Received a Completed Transfer / What this state means); POL_TRANSFER_RECIPIENT_001#eligibility (Completed Transfer Recipient Trace Policy / Trace eligibility); FAQ_TRANSFER_RECIPIENT_002#current_window (Recipient Has Not Received a Completed Transfer / Fictional recipient window). Other R1 non-gold top-3 sections: None. Prediction transfer_not_received_by_recipient is incorrect; the +0.15 boost changed top-3 from ['FAQ_TRANSFER_RECIPIENT_002#meaning', 'POL_CARD_REVERT_002#state_rule', 'FAQ_CARD_PENDING_001#answer'] to ['FAQ_TRANSFER_RECIPIENT_002#meaning', 'POL_TRANSFER_RECIPIENT_001#eligibility', 'FAQ_TRANSFER_RECIPIENT_002#current_window']. Category C: The classifier is wrong and its +0.15 intent boost worsens strict-gold ranking.",This is direct cascading damage from classifier error and supports retaining R0.
Q_LOCK_CARD_PEND_003,A hotel card hold is still unresolved. When should an agent review it rather than promise a release?,pending_card_payment,card_delivery_estimate,"[""POL_CARD_PENDING_001#review_window"", ""RUN_CARD_PENDING_001#action"", ""FAQ_CARD_PENDING_001#fictional_window""]","[""POL_CARD_PENDING_001#review_window"", ""RUN_CARD_PENDING_001#action"", ""FAQ_CARD_PENDING_001#fictional_window""]","[""POL_CARD_PENDING_001#review_window""]","[""FAQ_CARD_PENDING_001#answer""]","[""POL_CARD_REVERT_002#state_rule""]",1,1,predicted_intent_wrong,D,D,The query asks for timing/window,POL_CARD_PENDING_001#review_window (Pending Card Authorization Policy / Fictional review window),None,None,RUN_CARD_PENDING_001#action (Pending Card Payment Agent Runbook / Action); FAQ_CARD_PENDING_001#fictional_window (Pending Merchant Card Payment FAQ / Fictional waiting window),"The classifier prediction was incorrect, but strict gold remained in top 3. No non-gold sibling section from the gold document displaced it. Dense retrieval therefore succeeded despite the classifier error.","The classifier prediction is incorrect, but strict gold remains in R1 top three.","Decisive signal: The query asks for timing/window. Expected strict evidence: POL_CARD_PENDING_001#review_window (Pending Card Authorization Policy / Fictional review window). Higher-ranked R1 non-gold sections: None. Other R1 non-gold top-3 sections: RUN_CARD_PENDING_001#action (Pending Card Payment Agent Runbook / Action); FAQ_CARD_PENDING_001#fictional_window (Pending Merchant Card Payment FAQ / Fictional waiting window). The classifier prediction was incorrect, but strict gold remained in top 3. No non-gold sibling section from the gold document displaced it. Dense retrieval therefore succeeded despite the classifier error. Category D: The classifier prediction is incorrect, but strict gold remains in R1 top three.",This shows R0 semantic similarity can be robust to a wrong classifier; no R1 preference follows.
Q_LOCK_CARD_PEND_004,What safe checks should support perform while a recognized card authorization is still open?,pending_card_payment,compromised_card,"[""POL_CARD_PENDING_001#eligibility"", ""RUN_CARD_DECLINED_001#action"", ""POL_CASH_UNRECOG_001#prohibited_actions""]","[""POL_CARD_PENDING_001#eligibility"", ""RUN_CARD_DECLINED_001#action"", ""POL_CASH_UNRECOG_001#prohibited_actions""]","[""RUN_CARD_PENDING_001#checks""]","[""RUN_CARD_PENDING_001#action""]","[""FAQ_CARD_DECLINED_001#answer""]",,,r0_miss_top3|r1_miss_top3|predicted_intent_wrong,I,I,The query asks for agent checks,RUN_CARD_PENDING_001#checks (Pending Card Payment Agent Runbook / Merchant authorization checks),POL_CARD_PENDING_001#eligibility (Pending Card Authorization Policy / Open authorization eligibility); RUN_CARD_DECLINED_001#action (Declined Card Payment Agent Runbook / Safe checks); POL_CASH_UNRECOG_001#prohibited_actions (Unrecognized Cash Withdrawal Safety Policy / Prohibited actions),POL_CARD_PENDING_001#eligibility (Pending Card Authorization Policy / Open authorization eligibility); RUN_CARD_DECLINED_001#action (Declined Card Payment Agent Runbook / Safe checks); POL_CASH_UNRECOG_001#prohibited_actions (Unrecognized Cash Withdrawal Safety Policy / Prohibited actions),None,Prediction compromised_card is incorrect; the +0.15 boost did not change the top-3 ordering.,The query signal is too weak for the exact dense section ranking to place strict gold reliably.,Decisive signal: The query asks for agent checks. Expected strict evidence: RUN_CARD_PENDING_001#checks (Pending Card Payment Agent Runbook / Merchant authorization checks). Higher-ranked R1 non-gold sections: POL_CARD_PENDING_001#eligibility (Pending Card Authorization Policy / Open authorization eligibility); RUN_CARD_DECLINED_001#action (Declined Card Payment Agent Runbook / Safe checks); POL_CASH_UNRECOG_001#prohibited_actions (Unrecognized Cash Withdrawal Safety Policy / Prohibited actions). Other R1 non-gold top-3 sections: None. Prediction compromised_card is incorrect; the +0.15 boost did not change the top-3 ordering. Category I: The query signal is too weak for the exact dense section ranking to place strict gold reliably.,The miss is not evidence for a larger boost; retain R0 and record the limitation.
Q_LOCK_CARD_REVERT_002,The purchase did not simply stay open or get rejected; a previous hold vanished afterward. What guidance fits?,reverted_card_payment?,request_refund,"[""POL_CARD_PENDING_001#review_window"", ""POL_CASH_DECLINED_001#review_rule"", ""FAQ_CARD_PENDING_001#answer""]","[""POL_CARD_PENDING_001#review_window"", ""POL_CASH_DECLINED_001#review_rule"", ""FAQ_CARD_PENDING_001#answer""]","[""POL_CARD_REVERT_002#state_rule""]","[""POL_CARD_REVERT_002#return_window""]","[""POL_CARD_PENDING_001#eligibility""]",,,r0_miss_top3|r1_miss_top3|predicted_intent_wrong,I,I,The query asks for eligibility and state boundary,POL_CARD_REVERT_002#state_rule (Card Payment Reversal Policy / Reversal state rule),POL_CARD_PENDING_001#review_window (Pending Card Authorization Policy / Fictional review window); POL_CASH_DECLINED_001#review_rule (Declined Cash Withdrawal Policy / Fictional review rule); FAQ_CARD_PENDING_001#answer (Pending Merchant Card Payment FAQ / Open merchant authorization),POL_CARD_PENDING_001#review_window (Pending Card Authorization Policy / Fictional review window); POL_CASH_DECLINED_001#review_rule (Declined Cash Withdrawal Policy / Fictional review rule); FAQ_CARD_PENDING_001#answer (Pending Merchant Card Payment FAQ / Open merchant authorization),None,Prediction request_refund is incorrect; the +0.15 boost did not change the top-3 ordering.,The query signal is too weak for the exact dense section ranking to place strict gold reliably.,Decisive signal: The query asks for eligibility and state boundary. Expected strict evidence: POL_CARD_REVERT_002#state_rule (Card Payment Reversal Policy / Reversal state rule). Higher-ranked R1 non-gold sections: POL_CARD_PENDING_001#review_window (Pending Card Authorization Policy / Fictional review window); POL_CASH_DECLINED_001#review_rule (Declined Cash Withdrawal Policy / Fictional review rule); FAQ_CARD_PENDING_001#answer (Pending Merchant Card Payment FAQ / Open merchant authorization). Other R1 non-gold top-3 sections: None. Prediction request_refund is incorrect; the +0.15 boost did not change the top-3 ordering. Category I: The query signal is too weak for the exact dense section ranking to place strict gold reliably.,The miss is not evidence for a larger boost; retain R0 and record the limitation.
Q_LOCK_CARD_REVERT_003,"My earlier card charge was undone, but the credit is not visible yet. When is escalation appropriate?",reverted_card_payment?,transaction_charged_twice,"[""ESC_CARD_REVERT_001#trigger"", ""ESC_TRANSFER_RECIPIENT_001#trigger"", ""POL_CARD_REVERT_002#return_window""]","[""ESC_CARD_REVERT_001#trigger"", ""ESC_TRANSFER_RECIPIENT_001#trigger"", ""POL_CARD_REVERT_002#return_window""]","[""ESC_CARD_REVERT_001#trigger""]","[""POL_CARD_REVERT_002#state_rule""]","[""FAQ_CARD_DECLINED_001#answer""]",1,1,predicted_intent_wrong,D,D,The query asks for escalation trigger,ESC_CARD_REVERT_001#trigger (Card Payment Reversal Escalation Guide / Escalation trigger),None,None,ESC_TRANSFER_RECIPIENT_001#trigger (Recipient Missing Completed Transfer Escalation Guide / Escalation trigger); POL_CARD_REVERT_002#return_window (Card Payment Reversal Policy / Current fictional return window),"The classifier prediction was incorrect, but strict gold remained in top 3. No non-gold sibling section from the gold document displaced it. Dense retrieval therefore succeeded despite the classifier error.","The classifier prediction is incorrect, but strict gold remains in R1 top three.","Decisive signal: The query asks for escalation trigger. Expected strict evidence: ESC_CARD_REVERT_001#trigger (Card Payment Reversal Escalation Guide / Escalation trigger). Higher-ranked R1 non-gold sections: None. Other R1 non-gold top-3 sections: ESC_TRANSFER_RECIPIENT_001#trigger (Recipient Missing Completed Transfer Escalation Guide / Escalation trigger); POL_CARD_REVERT_002#return_window (Card Payment Reversal Policy / Current fictional return window). The classifier prediction was incorrect, but strict gold remained in top 3. No non-gold sibling section from the gold document displaced it. Dense retrieval therefore succeeded despite the classifier error. Category D: The classifier prediction is incorrect, but strict gold remains in R1 top three.",This shows R0 semantic similarity can be robust to a wrong classifier; no R1 preference follows.
Q_LOCK_CASH_DECL_002,"This was my ATM attempt, so it is not fraud, but the machine rejected it rather than leaving an open entry. What next?",declined_cash_withdrawal,declined_cash_withdrawal,"[""RUN_CASH_PENDING_001#recognition_check"", ""POL_CASH_DECLINED_001#eligibility"", ""POL_CASH_UNRECOG_001#security_rule""]","[""POL_CASH_DECLINED_001#eligibility"", ""ESC_CASH_DECLINED_001#handoff"", ""POL_CASH_DECLINED_001#review_rule""]","[""POL_CASH_DECLINED_001#review_rule""]","[""POL_CASH_DECLINED_001#eligibility""]","[""POL_CASH_UNRECOG_001#security_rule""]",,3,top1_differs|first_gold_rank_changed|r0_miss_top3,A,A,The query asks for review action,POL_CASH_DECLINED_001#review_rule (Declined Cash Withdrawal Policy / Fictional review rule),POL_CASH_DECLINED_001#eligibility (Declined Cash Withdrawal Policy / Recognized ATM refusal); ESC_CASH_DECLINED_001#handoff (Declined Cash Withdrawal Escalation Guide / Safe handoff),POL_CASH_DECLINED_001#eligibility (Declined Cash Withdrawal Policy / Recognized ATM refusal); ESC_CASH_DECLINED_001#handoff (Declined Cash Withdrawal Escalation Guide / Safe handoff),None,"Prediction declined_cash_withdrawal is correct; the +0.15 boost changed top-3 from ['RUN_CASH_PENDING_001#recognition_check', 'POL_CASH_DECLINED_001#eligibility', 'POL_CASH_UNRECOG_001#security_rule'] to ['POL_CASH_DECLINED_001#eligibility', 'ESC_CASH_DECLINED_001#handoff', 'POL_CASH_DECLINED_001#review_rule'].",The classifier is correct and the intent boost improves the first strict-gold rank.,"Decisive signal: The query asks for review action. Expected strict evidence: POL_CASH_DECLINED_001#review_rule (Declined Cash Withdrawal Policy / Fictional review rule). Higher-ranked R1 non-gold sections: POL_CASH_DECLINED_001#eligibility (Declined Cash Withdrawal Policy / Recognized ATM refusal); ESC_CASH_DECLINED_001#handoff (Declined Cash Withdrawal Escalation Guide / Safe handoff). Other R1 non-gold top-3 sections: None. Prediction declined_cash_withdrawal is correct; the +0.15 boost changed top-3 from ['RUN_CASH_PENDING_001#recognition_check', 'POL_CASH_DECLINED_001#eligibility', 'POL_CASH_UNRECOG_001#security_rule'] to ['POL_CASH_DECLINED_001#eligibility', 'ESC_CASH_DECLINED_001#handoff', 'POL_CASH_DECLINED_001#review_rule']. Category A: The classifier is correct and the intent boost improves the first strict-gold rank.","This is a bounded R1 gain, but it is insufficient to offset the locked aggregate regressions."
Q_LOCK_CASH_DECL_004,What information can an agent safely confirm after an ATM rejects a withdrawal the customer admits making?,declined_cash_withdrawal,pending_cash_withdrawal,"[""POL_CASH_UNRECOG_001#security_rule"", ""POL_CASH_DECLINED_001#eligibility"", ""RUN_CASH_PENDING_001#recognition_check""]","[""RUN_CASH_PENDING_001#recognition_check"", ""FAQ_CASH_PENDING_001#answer"", ""POL_CASH_UNRECOG_001#security_rule""]","[""ESC_CASH_DECLINED_001#handoff""]","[""POL_CASH_DECLINED_001#eligibility""]","[""POL_CASH_UNRECOG_001#security_rule""]",,,top1_differs|r0_miss_top3|r1_miss_top3|predicted_intent_wrong,E,E,The query asks for safe handoff information,ESC_CASH_DECLINED_001#handoff (Declined Cash Withdrawal Escalation Guide / Safe handoff),RUN_CASH_PENDING_001#recognition_check (Pending Cash Withdrawal Agent Runbook / Recognition check); FAQ_CASH_PENDING_001#answer (Pending Cash Withdrawal FAQ / Recognized ATM entry still pending); POL_CASH_UNRECOG_001#security_rule (Unrecognized Cash Withdrawal Safety Policy / Security-first rule),RUN_CASH_PENDING_001#recognition_check (Pending Cash Withdrawal Agent Runbook / Recognition check); FAQ_CASH_PENDING_001#answer (Pending Cash Withdrawal FAQ / Recognized ATM entry still pending); POL_CASH_UNRECOG_001#security_rule (Unrecognized Cash Withdrawal Safety Policy / Security-first rule),None,"The mapped hard-negative section ranked above the first strict-gold section, making this a semantic confusion failure rather than a same-document wrong-section failure.","A mapped semantic hard negative ranks above the first strict-gold section, or is present when strict gold is absent.","Decisive signal: The query asks for safe handoff information. Expected strict evidence: ESC_CASH_DECLINED_001#handoff (Declined Cash Withdrawal Escalation Guide / Safe handoff). Higher-ranked R1 non-gold sections: RUN_CASH_PENDING_001#recognition_check (Pending Cash Withdrawal Agent Runbook / Recognition check); FAQ_CASH_PENDING_001#answer (Pending Cash Withdrawal FAQ / Recognized ATM entry still pending); POL_CASH_UNRECOG_001#security_rule (Unrecognized Cash Withdrawal Safety Policy / Security-first rule). Other R1 non-gold top-3 sections: None. The mapped hard-negative section ranked above the first strict-gold section, making this a semantic confusion failure rather than a same-document wrong-section failure. Category E: A mapped semantic hard negative ranks above the first strict-gold section, or is present when strict gold is absent.","The failure is semantic discrimination, not status filtering; keep the frozen R0 decision."
